id_tran,mes,prima,cliente,productos,red
77,6,200.15,C3570010VK,145A,Canalonline
78,12,225.05,L1919375SR,145A,Canalonline
79,2,170.07,C2369380LM,145A,Canalonline
80,6,130.1,R1800424ZG,145A,Canalonline
81,5,230.19,V4023139DB,145A,Canalonline
82,1,157.46,Q4164732TY,145A,Canalonline
83,1,193.81,W2133064YQ,145A,Canalonline
84,1,191.92,Z2310314SK,145A,Canalonline
85,10,205.5,M4168307UQ,145A,Canalonline
86,1,169.2,E2096839CK,145A,Canalonline
87,5,174.5,C2681129TE,145A,Canalonline
88,2,162.74,H1545960UZ,145A,Canalonline
89,8,144.47,D3299822QR,145A,Canalonline
90,12,234.94,M3168389ZL,145A,Canalonline
91,3,194.95,L3904372SV,145A,Canalonline
92,10,166.78,R3041466ON,145A,Canalonline
93,4,187.2,D3029597RZ,145A,Canalonline
94,4,234.11,Y3209126TH,145A,Canalonline
95,12,182.66,W2201671QD,145A,Canalonline
96,6,180.34,A4418426MN,145A,Canalonline
97,9,227.85,J3950997FK,145A,Canalonline
98,3,156.8,V3987975NN,145A,Canalonline
99,6,142.66,B4207469GY,145A,Canalonline
100,2,193.11,W2307015VS,145A,Canalonline
101,8,231.44,L4285557MJ,145A,Canalonline
102,6,199.07,L3254906LD,145A,Canalonline
103,3,130.23,V1826507DL,145A,Canalonline
104,12,142.86,K3577294HF,145A,Canalonline
105,11,229.82,W2568683TV,145A,Canalonline
106,4,164.95,Y1715717EL,145A,Canalonline
107,5,313.73,D1776386SF,145A,Canalonline
108,3,130.99,U3233815IQ,145A,Canalonline
109,9,202.04,D3946077NA,145A,Canalonline
110,5,721.06,X3539288XS,145A,Canalonline
111,12,141.73,D4776117RA,145A,Canalonline
112,2,164.95,J3587831OF,145A,Canalonline
113,5,236.85,K2199731SR,145A,Canalonline
114,1,197.9,D2054411VA,145A,Canalonline
115,6,228.68,D2366172OA,145A,Canalonline
116,12,181.51,V3969524FU,145A,Canalonline
117,5,238.1,I4635777LM,145A,Canalonline
118,8,248.54,E2737576RI,145A,Canalonline
119,6,175.88,I3746799JF,145A,Canalonline
120,3,239.87,G3561269QU,145A,Canalonline
121,4,171.68,B4778109GG,145A,Canalonline
122,12,197.47,T2401347FV,145A,Canalonline
123,12,392.19,N1507887DQ,145A,Canalonline
124,6,210.81,I1862762RY,145A,Canalonline
125,2,250.25,L3952022KA,145A,Canalonline
126,2,136.93,A3564045PK,145A,Canalonline
127,10,215.65,B1865716PY,145A,Canalonline
128,7,180.62,H3794051PP,145A,Canalonline
129,5,172.79,V4355395KT,145A,Canalonline
130,12,153.23,S1586142ZW,145A,Canalonline
131,8,218.36,X2885280OO,145A,Canalonline
132,8,122.97,M3832754VW,145A,Canalonline
133,12,126.67,Z2969268EB,145A,Canalonline
134,7,135.4,R2759343HR,145A,Canalonline
135,1,160.46,L2481393FP,145A,Canalonline
136,3,205.36,V2930565RY,145A,Canalonline
137,7,208.6,D1985969YT,145A,Canalonline
138,7,177.84,M3750273ZZ,145A,Canalonline
139,12,136.77,V3904586SK,145A,Canalonline
140,12,244.41,I4189990ZU,145A,Canalonline
141,6,192.67,J3571335EM,145A,Canalonline
142,9,135.83,N3791166JU,145A,Canalonline
143,6,222.81,L4561967XF,145A,Canalonline
144,6,123.12,S3060194IF,145A,Canalonline
145,7,153.66,A4331103GP,145A,Canalonline
146,3,237.85,H3651046PI,145A,Canalonline
147,1,240.88,F3519638QW,145A,Canalonline
148,5,429.51,X4373975GO,145A,Canalonline
149,5,649.76,C4332233ZE,145A,Canalonline
150,8,170.33,G2366596SK,145A,Canalonline
151,10,205.54,T1788700ET,145A,Canalonline
152,10,374.9,I1669050KA,145A,Canalonline
153,3,195.47,I3999409IQ,145A,Canalonline
154,8,207.96,D2593810WX,145A,Canalonline
155,5,125.19,L2100197GD,145A,Canalonline
156,9,245.43,M1772892KS,145A,Canalonline
157,5,159.08,Z3028384ZY,145A,Canalonline
158,2,237.73,E2845868HL,145A,Canalonline
159,11,245.93,N4420107SH,145A,Canalonline
160,9,323.84,P4517932XQ,145A,Canalonline
161,5,224.72,Y3446209HX,145A,Canalonline
162,4,597.84,Z2845064YD,145A,Canalonline
163,1,211.62,J4625156NJ,145A,Canalonline
164,4,214.84,P4454486EZ,145A,Canalonline
165,3,166,O2297848UT,145A,Canalonline
166,12,159.24,W2481917BQ,145A,Canalonline
167,3,242.74,N4334759CJ,145A,Canalonline
168,9,188.93,G3735158ZI,145A,Canalonline
169,3,323.08,W3083419XT,145A,Canalonline
170,4,224.43,C3773683KF,145A,Canalonline
171,2,242.36,F2315975PV,145A,Canalonline
172,2,237.88,B4125859JR,145A,Canalonline
173,3,229.44,F4146649UO,145A,Canalonline
174,2,162.77,P1711860HK,145A,Canalonline
175,11,132.86,T4491564NP,145A,Canalonline
176,7,229.81,K2998625OS,145A,Canalonline
177,5,256.43,U4149863BN,145A,Canalonline
178,4,238.93,Y4068723DL,145A,Canalonline
179,9,201.03,G4724581ND,145A,Canalonline
180,10,198.16,U4417605TD,145A,Canalonline
181,4,354.66,Z2417647PT,145A,Canalonline
182,10,137.05,Z1538243XO,145A,Canalonline
183,9,115.89,X4760280ZK,145A,Canalonline
184,3,248.61,F3245451GQ,145A,Canalonline
185,4,230.1,V2369828LK,145A,Canalonline
186,3,195.7,Y1761996AN,145A,Canalonline
187,7,150.89,B3875565AM,145A,Canalonline
188,3,228.8,E4365968XR,145A,Canalonline
189,10,155.98,B2138868NJ,145A,Canalonline
190,4,367.89,F2957589LR,145A,Canalonline
191,12,277.62,E4297698DZ,145A,Canalonline
192,8,208.9,R2622548VO,145A,Canalonline
193,5,288.43,F2436817IS,145A,Canalonline
194,10,141.17,R2832997UP,145A,Canalonline
195,12,233.29,B4386813JP,145A,Canalonline
196,4,209.16,R4038063UE,145A,Canalonline
197,1,246.17,F1744404BT,145A,Canalonline
198,12,211.04,K3095214RD,145A,Canalonline
199,12,274.51,X2636890HS,145A,Canalonline
200,10,179.86,U1852400YV,145A,Canalonline
201,1,248.27,R3361619HZ,145A,Canalonline
202,5,162.45,L3000476WC,145A,Canalonline
203,6,216.56,Y3326365UV,145A,Canalonline
204,7,121.21,B2805828TW,145A,Canalonline
205,12,175.97,G3455986AK,145A,Canalonline
206,10,164.46,M4675349RS,145A,Canalonline
207,11,165.29,I3219972YR,145A,Canalonline
208,2,128.92,D4007064DS,145A,Canalonline
209,11,241.01,Z4551695FL,145A,Canalonline
210,8,221.05,A1866761LR,145A,Canalonline
211,11,161.38,T2914044AS,145A,Canalonline
212,2,620.24,J3021348DC,145A,Canalonline
213,12,694.45,I2435480XV,145A,Canalonline
214,7,221.35,G2600226UO,145A,Canalonline
215,7,222.09,C2917604SQ,145A,Canalonline
216,6,229.96,K1529683ZZ,145A,Canalonline
217,12,303.32,H4679384BD,145A,Canalonline
218,5,138.55,P2680006GQ,145A,Canalonline
219,5,251,A3552391YW,145A,Canalonline
220,9,240.95,F2112541FO,145A,Canalonline
221,3,243.66,W3444584RI,145A,Canalonline
222,12,202.71,A2334038HB,145A,Canalonline
223,12,212.02,Z1529811EZ,145A,Canalonline
224,9,211,Y2643197YU,145A,Canalonline
225,7,284.61,Q4686886CI,145A,Canalonline
226,6,252.04,K3156272DP,145A,Canalonline
227,10,132.69,O3747217RJ,145A,Canalonline
228,4,166.26,T1714258CI,145A,Canalonline
229,8,150.6,P3852706BP,145A,Canalonline
230,4,308.32,R2976118II,145A,Canalonline
231,9,253.45,Z2886171ME,145A,Canalonline
232,3,282.67,R1904799YG,145A,Canalonline
233,1,235.34,F4501899SC,145A,Canalonline
234,9,164.36,T2952621EF,145A,Canalonline
235,12,194.45,P2344828BL,145A,Canalonline
236,11,247.17,J2933234DA,145A,Canalonline
237,4,302.73,K3467811SY,145A,Canalonline
238,7,630.29,E2573899WQ,145A,Canalonline
239,12,257.18,V2042546FT,145A,Canalonline
240,1,164.1,Q3539208RV,145A,Canalonline
241,8,184.47,L4858444QU,145A,Canalonline
242,6,195.47,B3772621RY,145A,Canalonline
243,6,126.21,H3636554MM,145A,Canalonline
244,4,131.94,X3260890HX,145A,Canalonline
245,10,229.02,R2974085QA,145A,Canalonline
246,3,151.15,E2888563SO,145A,Canalonline
247,12,391.48,D1702939TI,145A,Canalonline
248,2,165.52,L3414900KI,145A,Canalonline
249,10,335,Q3028814JE,145A,Canalonline
250,10,246.4,Q2523985DP,145A,Canalonline
251,2,219.48,I1870939DU,145A,Canalonline
252,8,106.72,W2765192AO,145A,Canalonline
253,3,126.64,T1585876IW,145A,Canalonline
254,2,204.96,F3692498DG,145A,Canalonline
255,11,127.2,C3133121HB,145A,Canalonline
256,9,199.94,P4612051DF,145A,Canalonline
257,1,167.14,F1836247MX,145A,Canalonline
258,6,675.42,O2728014ET,145A,Canalonline
259,12,334.34,B3401437XC,145A,Canalonline
260,3,157.03,X2871284TX,145A,Canalonline
261,4,146.76,V2100337YD,145A,Canalonline
262,9,135.33,C3116780OK,145A,Canalonline
263,7,328.47,S1875709BQ,145A,Canalonline
264,8,733.48,M1840519GZ,145A,Canalonline
265,1,353.36,F1546439GE,145A,Canalonline
266,6,190.31,Q3935504DM,145A,Canalonline
267,11,136.4,P2501036ZJ,145A,Canalonline
268,9,130.25,K4684592YJ,145A,Canalonline
269,2,169.21,H3017629JC,145A,Canalonline
270,4,214.5,U4443075XG,145A,Canalonline
271,1,203.38,G1748138OV,145A,Canalonline
272,8,214.16,Q2255136OP,145A,Canalonline
273,6,224.67,R2721958FN,145A,Canalonline
274,7,277.41,L4848032QL,145A,Canalonline
275,5,184.29,K3696697SE,145A,Canalonline
276,5,132.19,Q4083963ET,145A,Canalonline
277,3,126.49,T2078767BJ,145A,Canalonline
278,12,230.48,R4689642OC,145A,Canalonline
279,2,191.78,R3366515DR,145A,Canalonline
280,8,355.54,R3454105SJ,145A,Canalonline
281,5,136.95,T2788650HT,145A,Canalonline
282,2,329.68,E4416868YC,145A,Canalonline
283,3,200.06,N3291945NI,145A,Canalonline
284,3,681.44,T4865214BH,145A,Canalonline
285,2,279.1,S3585173ZT,145A,Canalonline
286,4,191.43,R2357425IC,145A,Canalonline
287,9,244.27,N4252244VL,145A,Canalonline
288,2,116.48,W2221748IQ,145A,Canalonline
289,11,346.4,B4297111RB,145A,Canalonline
290,1,151.69,K4895670RU,145A,Canalonline
291,11,681.18,L3736873PL,145A,Canalonline
292,11,175.26,Z4332311BX,145A,Canalonline
293,8,244.55,I3380153RS,145A,Canalonline
294,7,133.63,I2629524EV,145A,Canalonline
295,9,199.43,P2594352ZS,145A,Canalonline
296,6,224.74,H1831685PT,145A,Canalonline
297,8,273.1,R3795336NO,145A,Canalonline
298,9,626.47,H3171831DI,145A,Canalonline
299,11,187.42,B3895285DS,145A,Canalonline
300,5,131.1,M3095644RX,145A,Canalonline
301,3,205.69,C3364060HX,145A,Canalonline
302,8,364.88,K2998382ID,145A,Canalonline
303,5,220.5,F2078051KF,145A,Canalonline
304,7,201.01,L2471564CT,145A,Canalonline
305,5,125.33,A4642637YH,145A,Canalonline
306,4,129.65,M3388957HX,145A,Canalonline
307,8,235.84,R4627634VJ,145A,Canalonline
308,10,247.62,N2412236XE,145A,Canalonline
309,1,138.46,O2428737OM,145A,Canalonline
310,6,166.98,J4855527WK,145A,Canalonline
311,11,182.92,K4888488HX,145A,Canalonline
312,1,127.11,O1711022SK,145A,Canalonline
313,9,229.26,M3698125CG,145A,Canalonline
314,5,135.43,N3738912YQ,145A,Canalonline
315,2,185.9,U4155233DQ,145A,Canalonline
316,10,110.96,P3124275NQ,145A,Canalonline
317,10,258.75,Q4579469VM,145A,Canalonline
318,4,185.75,U4758054QN,145A,Canalonline
319,4,239.66,D3761739LU,145A,Canalonline
320,4,198.36,L2893149QS,145A,Canalonline
321,9,219.81,D4086480SE,145A,Canalonline
322,8,182.92,D1675698RH,145A,Canalonline
323,3,268.52,H3657423CN,145A,Canalonline
324,2,212.65,F4359075FE,145A,Canalonline
325,10,152.2,P2081987KP,145A,Canalonline
326,2,219.17,W4046063JD,145A,Canalonline
327,11,220.43,B4622892WA,145A,Canalonline
328,9,134.34,C4458169AX,145A,Canalonline
329,5,214.2,Z2490625ZT,145A,Canalonline
330,8,201.68,S2091880GR,145A,Canalonline
331,11,138.2,K2003013SX,145A,Canalonline
332,12,119.57,O3320349XG,145A,Canalonline
333,11,204.76,H2592762NG,145A,Canalonline
334,3,149.25,X4516289LQ,145A,Canalonline
335,6,733.22,E4273922MR,145A,Canalonline
336,10,222.88,X2662151IB,145A,Canalonline
337,8,207.91,C3822254HB,145A,Canalonline
338,4,139.46,N1891433PJ,145A,Canalonline
339,3,196.74,O3484787RG,145A,Canalonline
340,9,217.02,C2093368NA,145A,Canalonline
341,7,204.23,W3796286EL,145A,Canalonline
342,12,142.29,I2613598XE,145A,Canalonline
343,2,235.93,W3847949GA,145A,Canalonline
344,12,342.96,Z2717235GI,145A,Canalonline
345,7,333.63,I4036964DD,145A,Canalonline
346,3,193.88,Y4779190UZ,145A,Canalonline
347,3,124.23,V3248944LX,145A,Canalonline
348,4,225.51,T1847035WR,145A,Canalonline
349,12,235.6,N4669667IQ,145A,Canalonline
350,9,172.71,G3164392ZQ,145A,Canalonline
351,3,174.8,J2787022JE,145A,Canalonline
352,3,214.93,L2433954AD,145A,Canalonline
353,10,245.49,U2934472BQ,145A,Canalonline
354,11,226.93,D4000051UK,145A,Canalonline
355,5,200.48,R4158421LC,145A,Canalonline
356,12,193.62,C2970798CR,145A,Canalonline
357,2,216.33,I4682044RM,145A,Canalonline
358,9,214.11,F3214747KA,145A,Canalonline
359,10,172.74,O3681623LT,145A,Canalonline
360,1,151.53,P3174907IV,145A,Canalonline
361,3,160.95,K3736433AE,145A,Canalonline
362,2,188.25,H2314111NF,145A,Canalonline
363,3,221.77,O4114599NY,145A,Canalonline
364,1,190.56,P2685688ES,145A,Canalonline
365,7,250.43,X4786209XY,145A,Canalonline
366,5,144.81,J4598552GM,145A,Canalonline
367,3,191.95,H3890876LV,145A,Canalonline
368,1,264.73,M3386260BR,145A,Canalonline
369,7,225.04,A1962827EV,145A,Canalonline
370,9,225.39,S4387521RO,145A,Canalonline
371,6,232.58,O2892694PH,145A,Canalonline
372,5,247.92,F4576937EF,145A,Canalonline
373,3,194.77,E3720250UG,145A,Canalonline
374,12,146.43,P3429344XZ,145A,Canalonline
375,10,192.91,K1668783EL,145A,Canalonline
376,10,248.47,F4004874AL,145A,Canalonline
377,6,632.98,N2904761UL,145A,Canalonline
378,9,239.05,Q1761480CY,145A,Canalonline
379,12,175.95,G3638375UW,145A,Canalonline
380,3,343.94,S1545695ZU,145A,Canalonline
381,9,222.59,A2685398EU,145A,Canalonline
382,2,196.38,Q4891364HN,145A,Canalonline
383,3,173.56,Y2250952BY,145A,Canalonline
384,1,169.81,G1698427XX,145A,Canalonline
385,7,288.6,I4055518WC,145A,Canalonline
386,12,222.39,G4476116EK,145A,Canalonline
387,11,201.62,X2306576IV,145A,Canalonline
388,5,184.05,E3772734GO,145A,Canalonline
389,4,134.48,I4777385VG,145A,Canalonline
390,5,211.49,K4158572AF,145A,Canalonline
391,7,260.28,N1939158UM,145A,Canalonline
392,6,153.55,T1621923VS,145A,Canalonline
393,7,356.64,N2656447PL,145A,Canalonline
394,7,240.01,F3079487EC,145A,Canalonline
395,3,129.71,N4033881VF,145A,Canalonline
396,7,263.23,F1563234VE,145A,Canalonline
397,12,188.85,N3141414AV,145A,Canalonline
398,10,157.57,N3685212LE,145A,Canalonline
399,11,195.47,W3614368JX,145A,Canalonline
400,11,229.84,E1822309IU,145A,Canalonline
401,1,178.08,O3022254VD,145A,Canalonline
402,3,140.96,K2430725CR,145A,Canalonline
403,9,227.59,G1555775SN,145A,Canalonline
404,3,114.63,B3987667ZV,145A,Canalonline
405,9,342.12,D2820590AQ,145A,Canalonline
406,2,304.13,I3707711ON,145A,Canalonline
407,3,222.57,B1833923JM,145A,Canalonline
408,11,230.7,B4139444KG,145A,Canalonline
409,7,179.04,Q2546366WG,145A,Canalonline
410,7,185.41,U3660015AO,145A,Canalonline
411,9,222.93,F2985916RV,145A,Canalonline
412,11,127.67,I4434337AE,145A,Canalonline
413,10,200.13,H4837385IY,145A,Canalonline
414,7,162.34,O3793554LB,145A,Canalonline
415,9,255.68,Z2378077TP,145A,Canalonline
416,6,228.79,V3602282IB,145A,Canalonline
417,3,286.48,V2588340VZ,145A,Canalonline
418,12,257.23,Q3605290GR,145A,Canalonline
419,10,233.88,R4368844PB,145A,Canalonline
420,4,130.87,R2450422MA,145A,Canalonline
421,12,183.56,X3950989FX,145A,Canalonline
422,8,366.11,E3132423TH,145A,Canalonline
423,6,224.66,G2189654OC,145A,Canalonline
424,4,181.4,J2364485BA,145A,Canalonline
425,7,627.56,Q1748320GY,145A,Canalonline
426,10,199.94,T2625967JB,145A,Canalonline
427,2,217.67,O4542589YR,145A,Canalonline
428,4,136.53,T4101006WK,145A,Canalonline
429,8,226.82,F4360223IJ,145A,Canalonline
430,9,199.13,A4063618OE,145A,Canalonline
431,10,169.63,L4737311AT,145A,Canalonline
432,6,227.48,V4200378AZ,145A,Canalonline
433,6,241.19,A2181382CP,145A,Canalonline
434,3,163.57,J3345606BS,145A,Canalonline
435,2,215.88,W4044160IO,145A,Canalonline
436,5,221.44,B3021134PR,145A,Canalonline
437,8,233.32,R1725933JY,145A,Canalonline
438,12,211.24,E2334020GD,145A,Canalonline
439,1,192.77,F3720437SH,145A,Canalonline
440,10,203.01,D4670642RF,145A,Canalonline
441,12,155.85,S1951810WD,145A,Canalonline
442,9,228.74,D4632153SK,145A,Canalonline
443,9,136.8,J4377790DE,145A,Canalonline
444,5,164.79,I1757721CB,145A,Canalonline
445,5,203.44,H3359179AV,145A,Canalonline
446,1,242.62,P3710230NV,145A,Canalonline
447,7,188.36,K3954461EK,145A,Canalonline
448,11,149.63,P2979144LD,145A,Canalonline
449,3,267.2,G3864205WC,145A,Canalonline
450,1,112.42,J4264245BB,145A,Canalonline
451,11,354.91,H2891557SD,145A,Canalonline
452,9,206.46,W2996734DZ,145A,Canalonline
453,10,198.67,S2796040GW,145A,Canalonline
454,9,312.6,K4384095KR,145A,Canalonline
455,8,176.04,G4072713QU,145A,Canalonline
456,2,187.6,R2294601KX,145A,Canalonline
457,3,190.41,O4624334NW,145A,Canalonline
458,10,111.54,S2176943BL,145A,Canalonline
459,11,343.98,Y3798592LB,145A,Canalonline
460,5,324.9,H3329681NN,145A,Canalonline
461,2,194.85,P4017183RH,145A,Canalonline
462,4,202.28,T2768595KO,145A,Canalonline
463,2,135.72,E3667702JH,145A,Canalonline
464,5,159.7,Z2951887CN,145A,Canalonline
465,2,235.58,N2735490OQ,145A,Canalonline
466,9,235.94,Q4075539CR,145A,Canalonline
467,12,239.43,Q3030918CY,145A,Canalonline
468,5,203.57,K2839225LQ,145A,Canalonline
469,11,147.88,E3672063WL,145A,Canalonline
470,12,128.76,D4330246GP,145A,Canalonline
471,3,273.43,I2427118JI,145A,Canalonline
472,4,303.78,N4819559FJ,145A,Canalonline
473,4,240.85,H3442730WF,145A,Canalonline
474,10,244.71,E1811922EN,145A,Canalonline
475,2,177.04,S4283359EU,145A,Canalonline
476,6,344.7,J4012074MF,145A,Canalonline
477,9,191.29,L3445982EO,145A,Canalonline
478,8,271.2,A1646545FH,145A,Canalonline
479,5,192.26,I3742320QT,145A,Canalonline
480,5,134.62,T2233762XN,145A,Canalonline
481,12,122.35,L2132067IV,145A,Canalonline
482,1,161.42,W3341049QN,145A,Canalonline
483,3,283.33,R2482621UU,145A,Canalonline
484,3,220.39,N3104176EG,145A,Canalonline
485,7,229.04,G2634200PA,145A,Canalonline
486,8,243.58,I4047894FG,145A,Canalonline
487,9,224.18,C3691320ED,145A,Canalonline
488,12,226.77,E1786162KN,145A,Canalonline
489,8,126.73,P3742398SR,145A,Canalonline
490,10,363.72,K2228300ZF,145A,Canalonline
491,4,226.54,O3270973MD,145A,Canalonline
492,9,240.72,S4072692AV,145A,Canalonline
493,3,141.47,L4517037PA,145A,Canalonline
494,2,136.29,K2714545ZR,145A,Canalonline
495,3,199.01,P3737149MT,145A,Canalonline
496,5,220.03,C1813846XW,145A,Canalonline
497,8,339.71,Y3959249QS,145A,Canalonline
498,1,257.82,B1531020PY,145A,Canalonline
499,11,212.16,O3145693DY,145A,Canalonline
500,12,365.01,A2027720WD,145A,Canalonline
501,9,145.99,H4462661IA,145A,Canalonline
502,8,198.41,W2178896SZ,145A,Canalonline
503,3,206.97,E4891592IR,145A,Canalonline
504,11,236.34,E3412147YP,145A,Canalonline
505,7,172.79,J4871805YH,145A,Canalonline
506,5,212.43,J1716073AU,145A,Canalonline
507,5,201.52,O3046811JS,145A,Canalonline
508,2,172.61,V3270534QA,145A,Canalonline
509,4,203.58,V3486760JF,145A,Canalonline
510,1,216.84,T3008394MQ,145A,Canalonline
511,3,235.7,F3641207YH,145A,Canalonline
512,10,221.46,M2591499MS,145A,Canalonline
513,6,156.41,F1760179LS,145A,Canalonline
514,4,242.51,M1677725DQ,145A,Canalonline
515,5,182.24,M4550459VT,145A,Canalonline
516,9,285.02,A3297988KZ,145A,Canalonline
517,10,241.53,K4372564PH,145A,Canalonline
518,10,184.19,D3161054UX,145A,Canalonline
519,9,222.56,P2811676YK,145A,Canalonline
520,3,211.16,Y2912607PZ,145A,Canalonline
521,2,185.34,E2443238PY,145A,Canalonline
522,12,213.91,Y2531027UB,145A,Canalonline
523,3,187.65,Q3584163SQ,145A,Canalonline
524,11,239.48,E2329858FL,145A,Canalonline
525,10,193.16,B3297325NW,145A,Canalonline
526,9,224.85,V2304051HT,145A,Canalonline
527,7,205.73,C1832571RU,145A,Canalonline
528,3,195.88,Q4162930VM,145A,Canalonline
529,5,156.21,E2921123OJ,145A,Canalonline
530,10,240.95,B3865679CY,145A,Canalonline
531,9,712.07,X3391753TM,145A,Canalonline
532,4,201.63,I2196111ME,145A,Canalonline
533,11,163.33,D4251016HF,145A,Canalonline
534,9,133.09,K3074949MT,145A,Canalonline
535,1,243.17,Q2915383TR,145A,Canalonline
536,3,127.68,K2582131HQ,145A,Canalonline
537,6,168.66,M4638527YD,145A,Canalonline
538,3,227.96,N2818128MY,145A,Canalonline
539,12,124.83,C2498940UT,145A,Canalonline
540,3,128.17,X3489541UU,145A,Canalonline
541,3,147.43,V3416410QG,145A,Canalonline
542,3,190.12,G4553911FM,145A,Canalonline
543,1,131.38,B4399449RM,145A,Canalonline
544,12,223.85,S2294426XA,145A,Canalonline
545,5,170.33,T4261925WT,145A,Canalonline
546,1,205.73,T1764271OI,145A,Canalonline
547,12,180.26,A1911749HL,145A,Canalonline
548,7,225.95,F2249597WH,145A,Canalonline
549,8,136.99,H1562749KO,145A,Canalonline
550,2,190.72,K4247975TS,145A,Canalonline
551,11,192.55,P1686853AE,145A,Canalonline
552,4,227.89,T3553961QQ,145A,Canalonline
553,3,181.2,Z2378007MU,145A,Canalonline
554,3,195.56,V4229374QE,145A,Canalonline
555,11,244.38,Z4800498QH,145A,Canalonline
556,9,147.6,B2123092XB,145A,Canalonline
557,12,215.84,I3792889PW,145A,Canalonline
558,4,282.82,R4615755KT,145A,Canalonline
559,8,161.6,F2383566PW,145A,Canalonline
560,4,129.54,S2052433MV,145A,Canalonline
561,11,252.46,W3890125TG,145A,Canalonline
562,6,162.91,Q2486171KN,145A,Canalonline
563,9,206.77,J2059887MA,145A,Canalonline
564,5,225.3,L4713042OY,145A,Canalonline
565,10,181.59,P4652411RC,145A,Canalonline
566,7,280.73,B2740330QX,145A,Canalonline
567,9,228.72,J4783563MV,145A,Canalonline
568,8,114.48,L3712476MR,145A,Canalonline
569,5,647.78,C4511665PE,145A,Canalonline
570,3,235.75,G3968784OY,145A,Canalonline
571,12,196.66,Y2507737GG,145A,Canalonline
572,12,125.32,Z4714748SZ,145A,Canalonline
573,2,241.56,S2919699TA,145A,Canalonline
574,1,221.44,N2862587IP,145A,Canalonline
575,2,190.22,L1995685SW,145A,Canalonline
